mae,rmse,p,d,q,P,D,Q,s
2.8914663630836124,3.2667830130705653,3,1,2,2,1,1,12
2.8974439770812057,3.5399653048608926,0,1,3,0,0,2,12
2.89936824707315,3.133608085500367,0,1,3,1,0,0,12
2.8994931069590866,3.9495594286615914,3,1,0,0,1,0,12
2.901174689518169,3.3846022815681645,1,1,1,1,1,2,12
2.9098427357792493,3.834221657293919,2,0,1,0,1,0,12
2.909983425467434,3.5109712036938645,3,2,1,2,1,2,12
2.9109046919284602,3.5929525091582755,3,1,1,0,0,2,12
2.911348814231553,3.553941499728418,3,2,2,2,1,0,12
2.9122415288717236,3.4572239234103295,3,1,1,2,1,2,12
2.913039926622714,3.3724743458312134,2,0,3,2,1,1,12
2.9133279745083778,3.5233592873423856,0,1,0,1,0,2,12
2.914324574974947,3.834665264496699,3,1,2,2,0,0,12
2.9154913512414984,3.7095198687956437,0,0,0,2,1,2,12
2.9185191448152494,3.6017333472696214,2,2,0,0,1,1,12
2.919087242052719,3.511007948469533,2,1,1,1,0,1,12
2.919172037700481,3.7496334356479855,0,2,2,2,0,2,12
2.9193866553912944,3.630063774002958,3,0,3,2,1,1,12
2.919760892909712,3.554264017058479,2,2,2,1,1,2,12
2.924594645132609,3.4184586085765125,1,1,0,2,1,2,12
2.927092268446187,3.8570948140449897,0,2,3,0,1,0,12
2.927183013152475,3.8378831669617357,2,0,0,1,1,1,12
2.928096283265334,3.45829698527596,2,1,0,2,1,0,12
2.9291645842329586,3.3545997455839265,1,1,2,2,1,1,12
2.9302446354432314,4.184848745464258,1,0,1,2,1,2,12
2.9304017615658116,3.514466667811922,1,2,0,2,1,0,12
2.932967219343658,3.61514429131412,0,1,1,0,0,2,12
2.9341088927221817,3.524569419219925,1,2,1,0,1,2,12
2.93494310857178,3.6269716343781693,1,1,1,0,0,2,12
2.937536110118134,3.5728432676055037,1,2,2,0,1,2,12
2.939604583474187,3.5617543338114794,3,1,2,0,0,1,12
2.940715532223375,3.4445831134095135,0,1,0,2,1,2,12
2.945692335745819,3.6264019056168926,1,1,0,0,0,2,12
2.9461143924375115,3.9760679509591834,1,0,2,0,1,2,12
2.9492494450011626,3.443616213656442,1,1,2,0,1,2,12
2.94968211056681,3.939459047552192,0,0,1,2,1,0,12
2.956512381364316,3.479508340746038,2,1,2,0,0,1,12
2.9565723512912787,3.54701518678963,2,1,0,2,1,1,12
2.958502978021578,3.5226749905394015,2,1,0,0,1,2,12
2.959579590126327,3.596555272261632,1,1,3,0,0,2,12
2.9618804781210133,3.5712919187008167,1,1,1,2,1,1,12
2.9618918365847366,3.5087066151817585,2,1,2,1,0,1,12
2.9644206952996988,3.9767482479301055,1,2,3,2,0,2,12
2.964558028335038,3.3000364805823184,3,2,3,0,0,0,12
2.9734084198348416,3.5286802036949902,0,2,1,0,1,2,12
2.9757278242294984,3.5548802143953706,1,1,2,1,0,1,12
2.9765499614114503,3.5794545943314144,1,1,2,0,0,1,12
2.978161833446717,3.4749527684585777,0,1,2,0,1,2,12
2.9785888065881654,3.8855133869448917,0,0,0,2,1,1,12
2.9792927105684535,3.654410426146652,1,1,0,1,0,2,12
2.979565075499007,3.6475273817544456,0,1,2,1,0,1,12
2.9926263105829434,3.639316135860605,0,0,0,0,1,2,12
2.993860034745986,3.381979438741113,3,1,2,1,1,2,12
2.994215685951076,3.6604031643326236,0,1,2,0,0,1,12
2.9982085583591718,3.944562998868661,0,0,2,2,1,2,12
2.9982901720314574,3.6739726364194807,2,1,0,1,0,2,12
3.0003202357610403,3.3492428387591557,1,1,3,1,1,2,12
3.005007869343878,3.6530253383800964,0,1,3,1,0,2,12
3.0070763519056847,3.3656283271514456,1,2,1,1,1,2,12
3.010400302770899,3.6882000947703153,0,2,3,0,1,2,12
3.0163553653314295,4.025331749617529,1,1,2,2,0,0,12
3.023750376998949,4.016152375958505,1,1,1,2,0,0,12
3.0242316451968234,3.673917348651885,2,2,1,2,1,0,12
3.0277816413431236,3.5670243582802623,3,1,3,0,0,2,12
3.029065646424589,3.311077533343967,1,1,3,1,0,0,12
3.0306269683244067,3.542481043452264,1,1,2,1,1,2,12
3.039001970786949,3.7439443154493977,0,1,1,1,0,2,12
3.0487576630905577,3.3956608255828127,3,1,3,2,1,2,12
3.0511610477012,3.6762036061914616,2,2,3,1,1,0,12
3.0539913480653307,3.9921292871614207,0,0,0,2,1,0,12
3.055407143910659,3.9498430122128747,1,0,3,0,1,2,12
3.0557557847945818,3.4940011708296033,2,1,3,0,0,2,12
3.0572425493504793,3.7070149574317184,3,1,0,1,0,2,12
3.0633080925205474,3.6627584661204025,2,1,2,0,1,2,12
3.0633166470018125,3.650295172763183,3,1,0,2,1,0,12
3.0645133602322487,3.7205700083810287,3,1,2,1,0,2,12
3.064805540624594,3.967094942782111,0,0,1,2,1,1,12
3.0685505116967637,4.04099570116688,2,1,2,1,1,1,12
3.071057064139144,3.4748312423062866,3,1,2,2,1,2,12
3.071659750656619,3.5621869993336306,2,2,0,1,1,2,12
3.0725883457618806,3.6634657196425326,2,1,2,2,1,0,12
3.0784368802629216,3.7281945923685496,1,1,1,0,0,1,12
3.0906305422789093,3.4624520215340207,1,1,2,2,1,2,12
3.0907054879700513,4.278213012922144,2,0,2,0,1,2,12
3.0939470430854676,3.8288456161591657,0,0,3,0,1,1,12
3.0945643172178166,3.7346355252199563,2,2,2,0,1,2,12
3.0958935575550544,3.776232959402503,2,1,2,0,0,2,12
3.109568703757185,4.130095147487129,2,0,2,2,1,2,12
3.1115078276328623,4.244286426554832,3,1,1,1,1,1,12
3.112911347091989,3.7967691355189013,2,2,2,2,1,1,12
3.113306251205926,3.984811384051509,0,0,1,1,1,2,12
3.1209718035698075,3.481958143473866,2,0,3,0,1,1,12
3.123165653904725,3.756631669217881,0,2,2,2,1,0,12
3.1232974583219053,3.693637702733921,2,1,1,2,1,2,12
3.1256198814370606,4.159340976050337,2,1,1,0,1,0,12
3.1263839460251206,4.204957708061068,1,0,3,0,1,0,12
3.130704826875859,3.6661839359419224,0,1,2,1,1,2,12
3.1307657523057526,3.783635912830974,1,1,1,1,0,1,12
3.1339461393657198,3.8264313361845024,2,1,0,1,0,0,12
3.137245486396097,3.6672837651259504,0,1,2,2,1,0,12
3.1385103752693073,3.7850578760307383,1,1,3,1,0,2,12
3.1396388480172828,3.6610416271263944,1,1,2,2,1,0,12
3.141515721715232,3.6440499974318596,0,1,3,2,1,0,12
3.1529251975782357,4.242756444439567,3,2,2,2,1,1,12
3.1538392293638395,4.336376097147554,2,1,3,1,1,1,12
3.153962754773988,4.2792044735888775,0,2,3,1,1,1,12
3.160752978213834,3.844841269361338,3,1,2,0,0,2,12
3.168290990925208,3.6705929481568687,2,1,3,2,1,1,12
3.1735888690652247,3.545246917158306,3,1,2,2,1,0,12
3.1765487388388647,3.8145563096846318,2,1,1,1,0,0,12
3.1778509272237585,3.7320181990360752,1,1,1,2,1,0,12
3.1835822260255062,3.731758770526326,0,1,2,2,1,1,12
3.186740122460405,3.438937376351457,3,2,3,0,1,1,12
3.1903232512792963,3.830343765950014,2,1,1,1,0,2,12
3.193350287630392,3.649661865584671,0,2,3,2,1,1,12
3.194180739572412,3.8365651938670604,2,1,0,1,0,1,12
3.196404584499865,3.825615757583328,2,1,0,2,1,2,12
3.1982478241120553,3.567026344375562,0,2,2,2,1,1,12
3.1991310676390543,4.274311583627397,0,0,2,0,1,1,12
3.201723774112788,3.6664261752561873,1,0,0,1,1,0,12
3.201749794815612,3.9150527509219377,1,2,0,0,1,1,12
3.204278346432783,3.9349580169369545,1,2,2,2,1,0,12
3.207262972641548,4.183980187342932,3,2,2,0,1,2,12
3.209250786853412,3.752026974492995,2,1,1,2,1,0,12
3.209582777971495,3.74898448351872,1,1,3,2,1,0,12
