iter	RMSE
0	0.1887829986
1	0.1840135535
2	0.1794558713
3	0.1744244928
4	0.1697296594
5	0.1644147908
6	0.1606024642
7	0.1562901088
8	0.1521283903
9	0.1481299579
10	0.1445895644
11	0.1414303961
12	0.1382585187
13	0.134691665
14	0.1315535817
15	0.1283500225
16	0.1251559509
17	0.1221393395
18	0.1187156676
19	0.1158232362
20	0.1130233667
21	0.1105727513
22	0.1080852318
23	0.1055057129
24	0.1030499287
25	0.1004287896
26	0.09820007348
27	0.09636435382
28	0.09390283632
29	0.09226366274
30	0.09054751762
31	0.08861373045
32	0.08637422656
33	0.08454868394
34	0.08298642942
35	0.08111444673
36	0.07936470076
37	0.07783612331
38	0.07615287776
39	0.07462524927
40	0.07324940836
41	0.07175424276
42	0.07016435041
43	0.06911078523
44	0.06817208999
45	0.06678580948
46	0.06564170084
47	0.06452267915
48	0.06323876673
49	0.06185899554
50	0.0606750771
51	0.05959554591
52	0.0584293643
53	0.05727542021
54	0.05639377776
55	0.05561765061
56	0.05469145642
57	0.05383130992
58	0.05302787025
59	0.05220005723
60	0.05143311346
61	0.05067051442
62	0.05007316221
63	0.04934603278
64	0.04858939955
65	0.04785818097
66	0.04724035675
67	0.04654277455
68	0.04583709577
69	0.0451501248
70	0.04458798528
71	0.04423381797
72	0.0436011368
73	0.04276622912
74	0.04210067994
75	0.04165384173
76	0.04123975548
77	0.04060590815
78	0.04004798584
79	0.03958889587
80	0.03922021256
81	0.03883967939
82	0.03832069704
83	0.03778913117
84	0.03728551025
85	0.03671098942
86	0.03638346663
87	0.0358651778
88	0.03536551468
89	0.03499253456
90	0.03451767683
91	0.03402462221
92	0.0335617362
93	0.03310324652
94	0.03281039922
95	0.03239239398
96	0.03205538992
97	0.0316464511
98	0.03126352327
99	0.03101091691
100	0.03055080458
101	0.0301716505
102	0.02994221777
103	0.02982288752
104	0.02962102853
105	0.02941062209
106	0.02918930396
107	0.0290354354
108	0.02887027538
109	0.02874141319
110	0.02859339128
111	0.02847280596
112	0.02835699092
113	0.02822871292
114	0.02806643092
115	0.02793056679
116	0.02777377991
117	0.02759480034
118	0.02741200997
119	0.02729109548
120	0.02688423074
121	0.02676326828
122	0.02658293131
123	0.0264894416
124	0.02635488948
125	0.02619845284
126	0.02609807808
127	0.02600198754
128	0.02588889458
129	0.02576403833
130	0.02567183343
131	0.02556293022
132	0.02536863825
133	0.02528221464
134	0.02483052895
135	0.02472904834
136	0.02458217789
137	0.02449795544
138	0.02441940721
139	0.02433779927
140	0.02420374437
141	0.02412521769
142	0.02372989695
143	0.02364285821
144	0.02356399766
145	0.02336591471
146	0.02300324768
147	0.02293048262
148	0.02285597861
149	0.0227893147
150	0.02262616608
151	0.02256486276
152	0.02250361428
153	0.02237159519
154	0.02201851037
155	0.02195896404
156	0.02190117339
157	0.02156395665
158	0.02150819228
159	0.02141359637
160	0.02135940901
161	0.02130676432
162	0.02122131439
163	0.020919782
164	0.02087038683
165	0.02082240672
166	0.02051234423
167	0.02019596281
168	0.02014716651
169	0.02009374398
170	0.02005001513
171	0.0200073702
172	0.01970772307
173	0.01966652879
174	0.01962612208
175	0.01958680842
176	0.01932532191
177	0.01928066632
178	0.01924380828
179	0.01899466218
180	0.01895726394
181	0.01891672852
182	0.01888298202
183	0.01884871129
184	0.01857973402
185	0.01854800347
186	0.01831787419
187	0.01828502474
188	0.01825523987
189	0.01822620565
190	0.01800639846
191	0.0179785147
192	0.01795128084
193	0.01762970345
194	0.01760323575
195	0.01757736261
196	0.01755209615
197	0.01730657471
198	0.01728204069
199	0.01725808285
200	0.01702331968
201	0.01700005385
202	0.01697733538
203	0.01673249564
204	0.01662214018
205	0.0165161407
206	0.01646746986
207	0.01623657643
208	0.01613741152
209	0.0160421807
210	0.01599901191
211	0.01576527584
212	0.0157237015
213	0.01551243038
214	0.01547302552
215	0.01528843345
216	0.01527038666
217	0.01525276768
218	0.01521590491
219	0.01502328604
220	0.0150066756
221	0.01486719965
222	0.0147843511
223	0.01470482002
224	0.01462847421
225	0.01455455007
226	0.01448780807
227	0.01431648902
228	0.01430187797
229	0.01428761755
230	0.01421958499
231	0.01408813924
232	0.01402650514
233	0.01396719642
234	0.01390941055
235	0.01376229725
236	0.01363912766
237	0.0135820542
238	0.01352300558
239	0.01346983454
240	0.01333096305
241	0.01327022922
242	0.01315423543
243	0.01302397465
244	0.01300941183
245	0.01295875595
246	0.0128495356
247	0.01280055627
248	0.01278669902
249	0.01266371075
250	0.0125900877
251	0.01248755284
252	0.01247414896
253	0.01239511611
254	0.01234459104
255	0.01221402817
256	0.01214522344
257	0.01207015682
258	0.01205742482
259	0.01198402827
260	0.01189419902
261	0.0118819149
262	0.01186998182
263	0.01179037439
264	0.01166483044
265	0.01158939284
266	0.01145093578
267	0.01140355625
268	0.01135810654
269	0.01124421225
270	0.01116585987
271	0.01108992492
272	0.01103698618
273	0.01097457111
274	0.01090201252
275	0.01085208478
276	0.01078376858
277	0.01071821334
278	0.01067562685
279	0.01055634826
280	0.01054401759
281	0.01053207691
282	0.01046920869
283	0.01040624903
284	0.01034584245
285	0.01033440624
286	0.01027478445
287	0.01019789085
288	0.01017788027
289	0.01012122665
290	0.01006735231
291	0.009968708443
292	0.00990589931
293	0.00979514697
294	0.009784936188
295	0.009736209133
296	0.009654301438
297	0.009646491201
298	0.00963887101
299	0.00957481111
